Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
0,Female,Group B,Undergraduate,Standard Lunch,No Prep,72,72,74
1,Female,Group C,Undergraduate,Standard Lunch,Completed Course,69,90,88
2,Female,Group B,Postgraduate,Standard Lunch,No Prep,90,95,93
3,Male,Group A,Undergraduate,Free/Reduced Lunch,No Prep,47,57,44
4,Male,Group C,Undergraduate,Standard Lunch,No Prep,76,78,75
5,Female,Group B,Undergraduate,Standard Lunch,No Prep,71,83,78
6,Female,Group B,Undergraduate,Standard Lunch,Completed Course,88,95,92
7,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,40,43,39
8,Male,Group D,Intermediate,Free/Reduced Lunch,Completed Course,64,64,67
9,Female,Group B,Intermediate,Free/Reduced Lunch,No Prep,38,60,50
10,Male,Group C,Undergraduate,Standard Lunch,No Prep,58,54,52
11,Male,Group D,Undergraduate,Standard Lunch,No Prep,40,52,43
12,Female,Group B,Intermediate,Standard Lunch,No Prep,65,81,73
13,Male,Group A,Undergraduate,Standard Lunch,Completed Course,78,72,70
14,Female,Group A,Postgraduate,Standard Lunch,No Prep,50,53,58
15,Female,Group C,Intermediate,Standard Lunch,No Prep,69,75,78
16,Male,Group C,Intermediate,Standard Lunch,No Prep,88,89,86
17,Female,Group B,Intermediate,Free/Reduced Lunch,No Prep,18,32,28
18,Male,Group C,Postgraduate,Free/Reduced Lunch,Completed Course,46,42,46
19,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,54,58,61
20,Male,Group D,Intermediate,Standard Lunch,No Prep,66,69,63
21,Female,Group B,Undergraduate,Free/Reduced Lunch,Completed Course,65,75,70
22,Male,Group D,Undergraduate,Standard Lunch,No Prep,44,54,53
23,Female,Group C,Intermediate,Standard Lunch,No Prep,69,73,73
24,Male,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,74,71,80
25,Male,Group A,Postgraduate,Free/Reduced Lunch,No Prep,73,74,72
26,Male,Group B,Undergraduate,Standard Lunch,No Prep,69,54,55
27,Female,Group C,Undergraduate,Standard Lunch,No Prep,67,69,75
28,Male,Group C,Intermediate,Standard Lunch,No Prep,70,70,65
29,Female,Group D,Postgraduate,Standard Lunch,No Prep,62,70,75
30,Female,Group D,Undergraduate,Standard Lunch,No Prep,69,74,74
31,Female,Group B,Undergraduate,Standard Lunch,No Prep,63,65,61
32,Female,Group E,Postgraduate,Free/Reduced Lunch,No Prep,56,72,65
33,Male,Group D,Undergraduate,Standard Lunch,No Prep,40,42,38
34,Male,Group E,Undergraduate,Standard Lunch,No Prep,97,87,82
35,Male,Group E,Undergraduate,Standard Lunch,Completed Course,81,81,79
36,Female,Group D,Undergraduate,Standard Lunch,No Prep,74,81,83
37,Female,Group D,Intermediate,Free/Reduced Lunch,No Prep,50,64,59
38,Female,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,75,90,88
39,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,57,56,57
40,Male,Group C,Undergraduate,Free/Reduced Lunch,No Prep,55,61,54
41,Female,Group C,Undergraduate,Standard Lunch,No Prep,58,73,68
42,Female,Group B,Undergraduate,Standard Lunch,No Prep,53,58,65
43,Male,Group B,Undergraduate,Free/Reduced Lunch,Completed Course,59,65,66
44,Female,Group E,Undergraduate,Free/Reduced Lunch,No Prep,50,56,54
45,Male,Group B,Undergraduate,Standard Lunch,No Prep,65,54,57
46,Female,Group A,Undergraduate,Standard Lunch,Completed Course,55,65,62
47,Female,Group C,Intermediate,Standard Lunch,No Prep,66,71,76
48,Female,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,57,74,76
49,Male,Group C,Intermediate,Standard Lunch,Completed Course,82,84,82
50,Male,Group E,Undergraduate,Standard Lunch,No Prep,53,55,48
51,Male,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,77,69,68
52,Male,Group C,Undergraduate,Standard Lunch,No Prep,53,44,42
53,Male,Group D,Intermediate,Standard Lunch,No Prep,88,78,75
54,Female,Group C,Intermediate,Free/Reduced Lunch,Completed Course,71,84,87
55,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,33,41,43
56,Female,Group E,Undergraduate,Standard Lunch,Completed Course,82,85,86
57,Male,Group D,Undergraduate,Standard Lunch,No Prep,52,55,49
58,Male,Group D,Undergraduate,Standard Lunch,Completed Course,58,59,58
59,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,0,17,10
60,Male,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,79,74,72
61,Male,Group A,Intermediate,Free/Reduced Lunch,No Prep,39,39,34
62,Male,Group A,Undergraduate,Free/Reduced Lunch,No Prep,62,61,55
63,Female,Group C,Undergraduate,Standard Lunch,No Prep,69,80,71
64,Female,Group D,Intermediate,Standard Lunch,No Prep,59,58,59
65,Male,Group B,Intermediate,Standard Lunch,No Prep,67,64,61
66,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,45,37,37
67,Female,Group C,Undergraduate,Standard Lunch,No Prep,60,72,74
68,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,61,58,56
69,Female,Group C,Undergraduate,Standard Lunch,No Prep,39,64,57
70,Female,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,58,63,73
71,Male,Group D,Undergraduate,Standard Lunch,Completed Course,63,55,63
72,Female,Group A,Undergraduate,Free/Reduced Lunch,No Prep,41,51,48
73,Male,Group C,Intermediate,Free/Reduced Lunch,No Prep,61,57,56
74,Male,Group C,Intermediate,Standard Lunch,No Prep,49,49,41
75,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,44,41,38
76,Male,Group E,Intermediate,Standard Lunch,No Prep,30,26,22
77,Male,Group A,Undergraduate,Standard Lunch,Completed Course,80,78,81
78,Female,Group D,Intermediate,Standard Lunch,Completed Course,61,74,72
79,Female,Group E,Postgraduate,Standard Lunch,No Prep,62,68,68
80,Female,Group B,Undergraduate,Standard Lunch,No Prep,47,49,50
81,Male,Group B,Intermediate,Free/Reduced Lunch,No Prep,49,45,45
82,Male,Group A,Undergraduate,Free/Reduced Lunch,Completed Course,50,47,54
83,Male,Group E,Undergraduate,Standard Lunch,No Prep,72,64,63
84,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,42,39,34
85,Female,Group C,Undergraduate,Standard Lunch,No Prep,73,80,82
86,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,76,83,88
87,Female,Group D,Undergraduate,Standard Lunch,No Prep,71,71,74
88,Female,Group A,Undergraduate,Standard Lunch,No Prep,58,70,67
89,Female,Group D,Intermediate,Standard Lunch,No Prep,73,86,82
90,Female,Group C,Undergraduate,Standard Lunch,No Prep,65,72,74
91,Male,Group C,Intermediate,Free/Reduced Lunch,No Prep,27,34,36
92,Male,Group C,Intermediate,Standard Lunch,No Prep,71,79,71
93,Male,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,43,45,50
94,Female,Group B,Undergraduate,Standard Lunch,No Prep,79,86,92
95,Male,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,78,81,82
96,Male,Group B,Intermediate,Standard Lunch,Completed Course,65,66,62
97,Female,Group E,Undergraduate,Standard Lunch,Completed Course,63,72,70
98,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,58,67,62
99,Female,Group D,Undergraduate,Standard Lunch,No Prep,65,67,62
100,Male,Group B,Undergraduate,Standard Lunch,No Prep,79,67,67
101,Male,Group D,Undergraduate,Standard Lunch,Completed Course,68,74,74
102,Female,Group D,Undergraduate,Standard Lunch,No Prep,85,91,89
103,Male,Group B,Intermediate,Standard Lunch,Completed Course,60,44,47
104,Male,Group C,Undergraduate,Standard Lunch,Completed Course,98,86,90
105,Female,Group C,Undergraduate,Standard Lunch,No Prep,58,67,72
106,Female,Group D,Postgraduate,Standard Lunch,No Prep,87,100,100
107,Male,Group E,Undergraduate,Standard Lunch,Completed Course,66,63,64
108,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,52,76,70
109,Female,Group B,Intermediate,Standard Lunch,No Prep,70,64,72
110,Female,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,77,89,98
111,Male,Group C,Intermediate,Standard Lunch,No Prep,62,55,49
112,Male,Group A,Undergraduate,Standard Lunch,No Prep,54,53,47
113,Female,Group D,Undergraduate,Standard Lunch,No Prep,51,58,54
114,Female,Group E,Undergraduate,Standard Lunch,Completed Course,99,100,100
115,Male,Group C,Intermediate,Standard Lunch,No Prep,84,77,74
116,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,75,85,82
117,Female,Group D,Undergraduate,Standard Lunch,No Prep,78,82,79
118,Female,Group D,Intermediate,Standard Lunch,No Prep,51,63,61
119,Female,Group C,Undergraduate,Standard Lunch,No Prep,55,69,65
120,Female,Group C,Undergraduate,Standard Lunch,Completed Course,79,92,89
121,Male,Group B,Undergraduate,Standard Lunch,Completed Course,91,89,92
