Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
29,Female,Group D,Postgraduate,Standard Lunch,No Prep,62,70,75
535,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,66,83,83
695,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,79,89,86
557,Male,Group C,Postgraduate,Free/Reduced Lunch,No Prep,61,67,66
836,Male,Group E,Intermediate,Standard Lunch,No Prep,73,64,57
596,Male,Group B,Intermediate,Free/Reduced Lunch,No Prep,30,24,15
165,Female,Group C,Undergraduate,Standard Lunch,Completed Course,96,100,100
918,Female,Group C,Undergraduate,Standard Lunch,Completed Course,57,77,80
495,Male,Group D,Intermediate,Standard Lunch,Completed Course,68,64,66
824,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,48,58,52
65,Male,Group B,Intermediate,Standard Lunch,No Prep,67,64,61
141,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,59,62,64
925,Male,Group E,Intermediate,Standard Lunch,Completed Course,74,64,60
827,Female,Group C,Intermediate,Standard Lunch,No Prep,65,69,76
655,Female,Group B,Undergraduate,Standard Lunch,No Prep,62,67,67
331,Male,Group C,Undergraduate,Standard Lunch,No Prep,47,37,35
664,Male,Group D,Undergraduate,Standard Lunch,No Prep,80,63,63
249,Male,Group C,Intermediate,Standard Lunch,No Prep,68,60,53
907,Female,Group D,Undergraduate,Standard Lunch,Completed Course,79,84,91
708,Male,Group D,Intermediate,Standard Lunch,No Prep,89,87,79
305,Male,Group A,Undergraduate,Standard Lunch,No Prep,69,67,69
734,Female,Group E,Undergraduate,Free/Reduced Lunch,No Prep,53,58,57
975,Female,Group C,Undergraduate,Standard Lunch,Completed Course,64,82,77
49,Male,Group C,Intermediate,Standard Lunch,Completed Course,82,84,82
896,Male,Group B,Intermediate,Free/Reduced Lunch,No Prep,36,29,27
2,Female,Group B,Postgraduate,Standard Lunch,No Prep,90,95,93
544,Female,Group D,Postgraduate,Standard Lunch,No Prep,64,63,66
350,Female,Group B,Undergraduate,Standard Lunch,No Prep,52,65,69
904,Female,Group D,Intermediate,Free/Reduced Lunch,No Prep,67,84,84
536,Male,Group C,Undergraduate,Standard Lunch,Completed Course,51,60,58
344,Male,Group D,Undergraduate,Standard Lunch,No Prep,79,73,67
994,Male,Group A,Intermediate,Standard Lunch,No Prep,63,63,62
481,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,52,59,56
575,Male,Group A,Undergraduate,Free/Reduced Lunch,Completed Course,40,55,53
33,Male,Group D,Undergraduate,Standard Lunch,No Prep,40,42,38
31,Female,Group B,Undergraduate,Standard Lunch,No Prep,63,65,61
231,Male,Group C,Undergraduate,Standard Lunch,No Prep,46,43,42
963,Female,Group C,Intermediate,Free/Reduced Lunch,Completed Course,65,76,75
192,Female,Group B,Intermediate,Standard Lunch,No Prep,62,64,66
333,Male,Group B,Undergraduate,Standard Lunch,No Prep,90,78,81
3,Male,Group A,Undergraduate,Free/Reduced Lunch,No Prep,47,57,44
204,Male,Group C,Undergraduate,Standard Lunch,No Prep,59,41,42
514,Female,Group B,Postgraduate,Free/Reduced Lunch,Completed Course,77,97,94
799,Female,Group C,Undergraduate,Standard Lunch,No Prep,52,55,57
306,Male,Group E,Undergraduate,Standard Lunch,Completed Course,99,87,81
109,Female,Group B,Intermediate,Standard Lunch,No Prep,70,64,72
430,Male,Group C,Undergraduate,Free/Reduced Lunch,No Prep,64,66,59
77,Male,Group A,Undergraduate,Standard Lunch,Completed Course,80,78,81
84,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,42,39,34
286,Male,Group E,Undergraduate,Standard Lunch,Completed Course,97,82,88
82,Male,Group A,Undergraduate,Free/Reduced Lunch,Completed Course,50,47,54
991,Female,Group B,Intermediate,Standard Lunch,Completed Course,65,82,78
789,Female,Group C,Postgraduate,Free/Reduced Lunch,No Prep,52,65,61
894,Female,Group E,Undergraduate,Standard Lunch,No Prep,59,62,69
398,Male,Group B,Intermediate,Standard Lunch,No Prep,74,63,57
323,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,43,53,53
519,Female,Group B,Intermediate,Free/Reduced Lunch,Completed Course,67,78,79
916,Male,Group E,Undergraduate,Standard Lunch,Completed Course,100,100,100
922,Male,Group D,Intermediate,Standard Lunch,No Prep,72,66,66
5,Female,Group B,Undergraduate,Standard Lunch,No Prep,71,83,78
731,Male,Group A,Intermediate,Free/Reduced Lunch,No Prep,55,46,43
465,Female,Group C,Undergraduate,Standard Lunch,No Prep,84,87,91
97,Female,Group E,Undergraduate,Standard Lunch,Completed Course,63,72,70
266,Female,Group C,Undergraduate,Standard Lunch,No Prep,63,75,81
357,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,42,66,69
868,Male,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,78,74,72
798,Male,Group E,Undergraduate,Standard Lunch,No Prep,69,60,54
380,Female,Group B,Undergraduate,Standard Lunch,No Prep,80,86,83
631,Male,Group B,Intermediate,Standard Lunch,No Prep,79,60,65
381,Male,Group C,Undergraduate,Standard Lunch,Completed Course,87,100,95
490,Female,Group A,Undergraduate,Free/Reduced Lunch,No Prep,65,85,76
118,Female,Group D,Intermediate,Standard Lunch,No Prep,51,63,61
900,Male,Group D,Postgraduate,Standard Lunch,No Prep,85,84,89
250,Male,Group A,Intermediate,Standard Lunch,Completed Course,47,49,49
523,Male,Group C,Postgraduate,Free/Reduced Lunch,No Prep,54,59,50
9,Female,Group B,Intermediate,Free/Reduced Lunch,No Prep,38,60,50
196,Male,Group C,Intermediate,Free/Reduced Lunch,Completed Course,59,69,65
603,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,60,57,51
81,Male,Group B,Intermediate,Free/Reduced Lunch,No Prep,49,45,45
783,Female,Group C,Undergraduate,Standard Lunch,Completed Course,52,59,62
587,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,44,63,62
797,Female,Group E,Undergraduate,Free/Reduced Lunch,No Prep,70,84,81
239,Male,Group C,Undergraduate,Standard Lunch,No Prep,84,80,80
290,Male,Group C,Undergraduate,Standard Lunch,No Prep,76,70,68
211,Male,Group C,Undergraduate,Free/Reduced Lunch,No Prep,35,28,27
717,Female,Group C,Undergraduate,Standard Lunch,Completed Course,96,96,99
359,Female,Group D,Undergraduate,Standard Lunch,No Prep,80,90,89
449,Male,Group B,Undergraduate,Standard Lunch,No Prep,81,73,72
227,Male,Group D,Intermediate,Standard Lunch,No Prep,57,50,54
950,Male,Group E,Intermediate,Standard Lunch,No Prep,94,73,71
946,Male,Group B,Intermediate,Standard Lunch,No Prep,82,82,80
796,Male,Group D,Intermediate,Standard Lunch,No Prep,70,70,70
501,Female,Group B,Undergraduate,Standard Lunch,Completed Course,94,87,92
464,Male,Group A,Undergraduate,Standard Lunch,Completed Course,75,58,62
362,Female,Group C,Undergraduate,Standard Lunch,No Prep,52,58,58
